Name,NumElements,Avg,Min,Max,ProbeTimes
QuickSort,1000,0,0,0
SelectionSort,1000,0,0,0
BubbleSort,1000,0,0,1
QuickSort,5000,0,0,0
SelectionSort,5000,11,11,11
BubbleSort,5000,27,25,28
QuickSort,10000,0,0,0
SelectionSort,10000,41,41,42
BubbleSort,10000,87,87,88
QuickSort,20000,1,1,1
SelectionSort,20000,168,167,170
BubbleSort,20000,356,356,357
QuickSort,30000,2,2,3
SelectionSort,30000,387,385,390
BubbleSort,30000,981,975,988
QuickSort,40000,2,2,2
SelectionSort,40000,785,776,797
BubbleSort,40000,1770,1768,1775
QuickSort,50000,3,3,3
SelectionSort,50000,1214,1210,1220
BubbleSort,50000,3272,3268,3277
QuickSort,60000,4,4,4
SelectionSort,60000,1764,1755,1776
BubbleSort,60000,5729,5726,5733
QuickSort,70000,6,5,8
SelectionSort,70000,2382,2377,2388
BubbleSort,70000,8736,8727,8742
QuickSort,80000,7,7,8
SelectionSort,80000,3116,3105,3126
BubbleSort,80000,7926,7919,7936
QuickSort,90000,9,7,10
SelectionSort,90000,4143,4137,4152
BubbleSort,90000,10388,10361,10437
QuickSort,100000,8,8,9
SelectionSort,100000,6356,6349,6361
BubbleSort,100000,13088,13082,13096
QuickSort,200000,22,18,24
QuickSort,500000,51,51,52
QuickSort,1000000,109,108,111
QuickSort,5000000,791,789,793
QuickSort,10000000,1697,1687,1706
QuickSort,50000000,10548,10543,10557
